N_Fiche,Client,Adresse,Date,Technicien,Modele_Diffuseur,Emplacement,Quantite_Livree,Nom_Parfum,Observations,Column1
17767,JL Invest,Lac 2,28/01/2026,Ghassen,,,,,Nettoyage contour diff entrée + diff salle de réunion / Appliqué Aroma Flash à les Bouteilles de les diffs,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Zee300,R.C,300ml,R.G,Reste 3 bouteille 300 R.G en stock chez le client,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Zee300,R.DC,300ml,R.G,,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Zee300,-1,300ml,R.G,,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Aromair150,+1,300ml,R.G,,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Zee300,+1,300ml,R.G,,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Aromair150,Bureau.D,300ml,R.G,,
15915,Affaire A Suivre,Marsa,14/01/2026,Ghassen,Astree,entre,,F.The,Changement Freq diff entree => 2 - 10,
15945,Maison Karim,Jardins Carthage,17/01/2026,Ghassen,Iceburg,salon,,H.h,Livraison Diff Iceburg (salon) + 300 ml H.h,
16988,Poly Lighting,GP9,23/01/2026,Houssem,,,,,Récupération Diff (Entrée) a L'atelier pour la reparation + 26 ml F.B,
15921,Ooredoo,Charguia,14/01/2026,Ghassen,Zee300,entré,130ml,F.M,Changement tête Bouteille Diff 2éme étage (Aromair100),
15921,Ooredoo,Charguia,14/01/2026,Ghassen,Centrale/CTA,+2 D,55ml,T.B,,
15921,Ooredoo,Charguia,14/01/2026,Ghassen,Aromair100,+2 G,70ml,Fe 3,,
15923,Pharmacie Bardo,Bardo,14/01/2026,Houssem,Aromair100,Entrée,,Fe2,,
16987,Sodeco,GP9,23/01/2026,Houssem,Zee300,entré,,Melange,,
16953,M. Food & Drinks,Megrine,19/01/2026,,Iceburg,B.D,,T.H,on a laisse un mot chapeau du diff Bureau directeur a la prohaine visite,
15909,Clinique Ibn Kholdoun,Sousse,13/01/2026,Ghassen & Houssem,Astree,B.D,,R.G,"changement prog diff (Reception, RDC, +1, -1, B. directeur) = 12:00 -> 05:00 / 8 -> 12/13 -> 17:00 / Livraison diff Aromair150 + 150ml J.B (en stock client)",
15909,Clinique Ibn Kholdoun,Sousse,13/01/2026,Ghassen & Houssem,Zee300,B.D,,R.G,,
17753,Clinique Alyssa,Lac 1,26/01/2026,Ghassen,Zee600,entré,300ml,F.M,,
17762,Floralies,Lac 3,27/01/2026,,Zee600,Entrée,,F.Thé,,
15944,Clinique Kaynos,Lac 2,17/01/2026,Ghassen,Astree,entrée,300ml,Fe3,Payment espece,
17770,Machewi 5 Etoiles,Cabalet Ben Ammar,28/01/2026,Ghassen,Zee300,B.D.C,500ml,Melange,,
17770,Machewi 5 Etoiles,Cabalet Ben Ammar,28/01/2026,Ghassen,Zee300,B.D.E,500ml,Melange,,
16955,Edward's,Soukra,19/01/2026,Ghassen,Aromair100,entré,300ml,Myrrh,,
16955,Edward's,Soukra,19/01/2026,Ghassen,Aromair150,+1,200ml,Myrrh,,
16955,Edward's,Soukra,19/01/2026,Ghassen,Iceburg,entré,300ml,Myrrh,,
16955,Edward's,Soukra,19/01/2026,Ghassen,Iceburg,au fond,300ml,Myrrh,,
16954,Darty,Marsa,19/01/2026,Houssem,Zee600,Entrée,,Agrume,,
16954,Darty,Marsa,19/01/2026,Houssem,Aromair150,W.C,,F.the,,
16954,Darty,Marsa,19/01/2026,Houssem,Aromair100,+1,180ml,Agrume,Acheté Agrume + 1 litre F.the,
16994,Ceram Square,GP9,24/01/2026,Ghassen,,,,,Récupération diff Zee300 + 415ml T.H -> diff en bonne etat on a gardé la bouteille + le liquide de deux diff ceramique + deux cable R+G chez le client,
16984,Maison Audi,La Goulette,23/01/2026,Houssem,Zee300,entrée D,300ml,R.U,"changement Prog Diff entre -> 120-300 / changement Diff entre -> 20-300 / Stock client: 4 bouteilles (Tobacco Show), 3 bouteilles (Rouge Used)",
15928,Retaurant Safran,Lac 1,15/01/2026,Ghassen,Zee600,Entré,,P.O,changement Plage d'Horaire Diff entree => ( 9:00 -> 00:00 ),
17759,Zahia,Soukra,27/01/2026,Ghassen,Astree,entrée,150ml,F.O,Perfect!,
15994,Hertz,Charguia,12/01/2026,Houssem,Astree,Entrée,300ml,W.J,,
15993,Centre Livraison VW,Kram,12/01/2026,Houssem,Zee300,Reception,300ml,W.J,,
16038,Tony Nasr,GP9,05/01/2026,Houssem,Aromair100,Entrée,,Fez,,
15910,Hotel Kantaoui,Kantaoui, Sousse,13/01/2026,Ghassen & Houssem,,,,,Livraison 7 Bouteilles 1L parfum P.O pour hotel Kantaoui Bay en stock client (les sept Bouteilles sont cachetées)
15911,Hotel Diar El Andalous,Sousse,13/01/2026,Ghassen & Houssem,,,,,Livraison un bidon de CTA Bas hotel Diar Landalos en stock client,
15959,Pharmacie Sadri,Lac 2,01/01/2026,Ghassen,Zee300,entré,,R.G,Commande confirme Diff Entrée Zee300,
15960,Dr Fares,Lac 2,07/01/2026,Houssem,Astree,Entrée,,T.V,,
16040,BFI Siege2,Lac 1,05/01/2026,Houssem,Aromair150,+2,100ml,J.B,,
16042,Cabinet Avocat Bilel Touzri,Cite Olympique,05/01/2026,Houssem,Aromair150,Entrée,,b.r,,
16042,Cabinet Avocat Bilel Touzri,Cite Olympique,05/01/2026,Houssem,Aromair150,bureau A,,b.r,,
16044,Oishi,Soukra,05/01/2026,Ghassen,Astree,entré,300ml,Agrume,,
16033,Barista's,Aouina,03/01/2026,Houssem,,,,,Changement Freq Diff (WC) = 2/6,
16028,Skybar,Gammarth,03/01/2026,Houssem,Aromair100,Entrée,300ml,F.T,,
16000,Dar Zarrouk,Sidi Bou Said,03/01/2026,Ghassen,Zephyr,Rest,300ml,J.B,,
15902,Dar Marsa,Marsa,12/01/2026,Ghassen,Zee300,R.C,,F.W,changement Plage d'horaire => 8 - 18 -> 14:00 - 00:00 / Commande confirme pour 3 bouteille 300 ml F.W,
15904,Dr Marwa Ben Amor,Bhar Lazrag,12/01/2026,Ghassen,Iceburg,entrée,,C.L,Récuperation diff Ice burg Marron à l'atelier pour la réparation,
15988,Luxury Projects,Soukra,09/01/2026,,Iceburg,au fond,300ml,Fe3,,
15985,Cafe Bisou,Boumhal,09/01/2026,Ghassen,Zee300,entré,300ml,melange,Livraison diff Zee300 + 300 ml melange,
15998,Ooredoo,Lac 2,12/01/2026,Ghassen,Zee300,Boutique,300ml,B.U,,
16024,Arena Gym,El Manar,02/01/2026,Houssem,Aromair100,Entrée,300ml,Fe3,,
16047,Carlton Hotel,Tunis,06/01/2026,Ghassen,Aromair100,Rest,300ml,Melange,Livraison d'après le stock du client,
16047,Carlton Hotel,Tunis,06/01/2026,Ghassen,Aromair100,etage+3,300ml,Melange,,
15989,Saveurs de Carthage,Jardin Carthage,10/01/2026,Ghassen,Aromair100,entré,,Melange,"changement Plage d'horaire => 10:00 - 14:00 / 17:00 - 19:00, commande confirmée",
16031,Boutique LARA,Menzah7,03/01/2026,Houssem,Aromair150,entré,,b.r,,
16036,Century 21,Soukra,05/01/2026,Ghassen,Iceburg,Entrée,,Mel,demande echantillon pour changer de parfum,
15956,AF Collection,Soukra,06/01/2026,Houssem,Astree,RDC,,R.G,,
16034,Oishi,Soukra,05/01/2026,Houssem,Astree,Entrée,,Agrume,commande confirmée bouteille 300 ml Agrume,
16030,BFI Siege1,Lac 1,03/01/2026,Houssem,Aromair150,Reception,100ml,J.B,,
16030,BFI Siege1,Lac 1,03/01/2026,Houssem,Aromair150,+1,100ml,J.B,,
16030,BFI Siege1,Lac 1,03/01/2026,Houssem,Aromair150,+2,100ml,J.B,,
16030,BFI Siege1,Lac 1,03/01/2026,Houssem,Aromair150,+3,100ml,J.B,,
16045,Centre Boulbar,Riadh Landalous,06/01/2026,Houssem,Zee300,Entrée,,F.n,,
16045,Centre Boulbar,Riadh Landalous,06/01/2026,Houssem,Zee300,RDC,,F.n,,
16045,Centre Boulbar,Riadh Landalous,06/01/2026,Houssem,Zee300,+1,,f.n,,
15972,Vero Food,Lac 2,08/01/2026,Ghassen & Houssem,Centrale/CTA,central,300ml,F.M,,
15972,Vero Food,Lac 2,08/01/2026,Ghassen & Houssem,Centrale/CTA,sallon,300ml,F.M,,
15952,Lake Tower,Lac 2,06/01/2026,Ghassen,Astree,entrée,,cashmir,commande confirmée & Bouteille 300 ml cashmir,
15952,Lake Tower,Lac 2,06/01/2026,Ghassen,Iceburg,entrée D,,cashmir,,
15964,Geliamo,Marsa,07/01/2026,,Aromair150,Entree,,,-,Commande confirmée Diff (Entrée)
16023,Vision Store,Menzah4,02/01/2026,,Aromair100,Entree,300ml,F.O,,
16043,Brain Corner,Manar1,05/01/2026,Ghassen,Astree,entree,,F.M,,
15953,Love Yourself,Lac 2,06/01/2026,Ghassen,Aromair100,RDC,,B.R,,
15953,Love Yourself,Lac 2,06/01/2026,Ghassen,Aromair100,+1,,B.K,,
16039,Concorde,Lac 1,05/01/2026,,Aromair150,WCH -1,300ml,J.B,Livraison Diff Aromair150 + 300ml J.B,
16026,City Desk,Soukra,02/01/2026,,Zephyr,Entrée,300ml,mel,Paiement par chèque,
16021,HG Ykone,Lac 1,02/01/2026,,Zee300,+2,300ml,R.G,,
16021,HG Ykone,Lac 1,02/01/2026,,Astree,+1,300ml,R.G,,
16049,Cafe Bisou,Boumhal,06/01/2026,,Aromair150,entré,,B+,,
16049,Cafe Bisou,Boumhal,06/01/2026,,Aromair150,RDC,,B+,,
16019,Cupra,GP9,02/01/2026,,Astree,+1,300ml,R.G,,
16020,Affaire A Suivre,Marsa,02/01/2026,,,,,Livraison 5 bouteille 300 ml en stock client,,
15976,Cafe Bisou,Boumhal,08/01/2026,Houssem & Ghassen,Aromair100,WCH,,Fig,"On a trouvé le diff fermé, la pompe est fluide, on a trouvé la quantité du diffuseur est bonne. Aucun problème, on a suggerer au client de donner le mot de passe.",
15976,Cafe Bisou,Boumhal,08/01/2026,Houssem & Ghassen,Aromair100,WCF,,Fig,La Livraison Annuler. La carte du diff (WCF) est gratuit.,
16025,JC,Bardo,02/01/2026,,Astree,Entrée,300ml,cologne,,
15975,Geliamo,Marsa,08/01/2026,Ghassen & Houssem,Aromair150,Entrée,300ml,Derrigro,Livraison des echantillon,
15973,Cabinet Dr. Louati,Lac 2,08/01/2026,Ghassen & Houssem,,,,,Livraison des échantillons cabinet docteur louati,
15995,FINOPTI TN,Charguia,12/01/2026,Ghassen,Aromair150,entré,300ml,th,Livraison 3 Diff Aromair150 + 200 ml x 3 t.h,
15995,FINOPTI TN,Charguia,12/01/2026,Ghassen,Aromair150,+1 entré,300ml,th,,
15995,FINOPTI TN,Charguia,12/01/2026,Ghassen,Aromair150,au fond,300ml,th,,
15906,Poly Lighting,GP9,12/01/2026,Ghassen,Astree,entré,300ml,S.B,Commande du client,
15979,Ooredoo,Lac 2,10/01/2026,Ghassen,Zee300,entré BD,200ml,R.U,Récuperation 126ml R.U de diff bureau PDG a l'atelier,
15979,Ooredoo,Lac 2,10/01/2026,Ghassen,Centrale/CTA,C+A BD,300ml,Fe2,,
15979,Ooredoo,Lac 2,10/01/2026,Ghassen,Centrale/CTA,+2 BD,300ml,Fe2,,
15979,Ooredoo,Lac 2,10/01/2026,Ghassen,Zee300,RDC BG,185ml,R.U,,
15979,Ooredoo,Lac 2,10/01/2026,Ghassen,Zee300,B.PDG,300ml,G.B,,
15979,Ooredoo,Lac 2,10/01/2026,Ghassen,Aromair100,+2 BG,40ml,Fe2,,
15979,Ooredoo,Lac 2,10/01/2026,Ghassen,Centrale/CTA,+1 BG,300ml,Fe2,,
15991,Ooredoo DSC,Charguia,10/01/2026,Houssem,Zee300,RDC,300ml,F.M,"Changement flexible apres detection du fuite dans le circuit + deux raccords(Diff +1 w/c) / Changement deux têtes bouteille Boucher diff, t.c + C.m.c",
15991,Ooredoo DSC,Charguia,10/01/2026,Houssem,Centrale/CTA,+1c,230ml,Fe2,,
15991,Ooredoo DSC,Charguia,10/01/2026,Houssem,Centrale/CTA,+1 wc,76ml,Fe2,,
15991,Ooredoo DSC,Charguia,10/01/2026,Houssem,Centrale/CTA,+2 wc,49ml,T.B,,
15991,Ooredoo DSC,Charguia,10/01/2026,Houssem,Centrale/CTA,+2 wc,265ml,T.B,,
15992,Enzo,Menzah 5,10/01/2026,Ghassen,Tour,entre,,Fe3,,
16046,Labo Farah,Riadh Landalous,06/01/2026,Houssem,Aromair150,entree,,,-,
16050,Oriflame,Lac 3,06/01/2026,,Astree,entrée,300ml,F.C,,
15969,Concorde,Lac 1,08/01/2026,Ghassen & Houssem,Aromair150,WCH,300ml,J.B,"Livraison diff Aromair150, 300 ml parfum J.B = WCH / Client Besoin d'autre bouteille de parfum (anti humidite) pour le prochaine visite par nous",
15970,JL Invest,Lac 2,08/01/2026,Ghassen & Houssem,Astree,entrée,136ml,R.G,"Livraison diff Ice burg noir BT, 300 ml R.G / Changement program Diff entre 3-5 / changement Plage horaire Diff S.Réunion 8-19h / Récuperation deux Diff A50 + 268ml R.G",
15970,JL Invest,Lac 2,08/01/2026,Ghassen & Houssem,Astree,salle de reunion,,,,
15970,JL Invest,Lac 2,08/01/2026,Ghassen & Houssem,Iceburg,B.Directeur,300ml,R.G,,
16022,Business Hotel,Tunis,02/01/2026,,Zephyr,Reception,260ml,B.G,,
16022,Business Hotel,Tunis,02/01/2026,,Astree,+2,300ml,F.W,,
16022,Business Hotel,Tunis,02/01/2026,,Astree,+3,70ml,F.W,,
16022,Business Hotel,Tunis,02/01/2026,,Astree,+4,60ml,F.W,,
16022,Business Hotel,Tunis,02/01/2026,,Astree,+5,220ml,F.W,,
15977,Cafe Sophia,CUN,08/01/2026,,Astree,au fond,100ml,P.O,"Livraison diff Astree noir, 100 ml P.O (Version demo)",
15978,Hotel Majestic,Tunis,08/01/2026,,Astree,RC,300ml,Myrrhe,,
